Country Name,aid_type_general,aid_type_specific,reporting_currency,measure,source_reported_value,tot_activity_value,tot_activity_value_EUR,tot_activity_value_constant_currency,tot_sub_activity_value,tot_sub_activity_value_EUR,tot_sub_activity_value_constant_currency,tot_sub_activity_value_constant_currency_redistr,tot_sub_activity_value_EUR_redistr,tot_value_deliv_EUR,Year,Country Code,"Armed forces personnel, total",Arms exports (SIPRI trend indicator values),Arms imports (SIPRI trend indicator values),Military expenditure (% of GDP),Military expenditure (current USD)
Belgium,Military,Weapons,EUR,Allocation,76000000,76000000,76000000,71771439.93522428,76000000,76000000.0,71771439.93522428,71771439.93522428,76000000.0,71771439.93522428,2022,BEL,0.0,146000000.0,170000000.0,1.18239642570098,6890161299.82246
Belgium,Military,Equipment,EUR,Allocation,76000000,,,,,,,,,,2022,BEL,0.0,146000000.0,170000000.0,1.18239642570098,6890161299.82246
Belgium,Military,Weapons,EUR,Allocation,76000000,,,,,,,,,,2022,BEL,0.0,146000000.0,170000000.0,1.18239642570098,6890161299.82246
Belgium,Military,Weapons,EUR,Allocation,76000000,,,,,,,,,,2022,BEL,0.0,146000000.0,170000000.0,1.18239642570098,6890161299.82246
Belgium,Military,Equipment,EUR,Allocation,76000000,,,,,,,,,,2022,BEL,0.0,146000000.0,170000000.0,1.18239642570098,6890161299.82246
Belgium,Military,Equipment,EUR,Allocation,76000000,,,,,,,,,,2022,BEL,0.0,146000000.0,170000000.0,1.18239642570098,6890161299.82246
Belgium,Military,Equipment,EUR,Allocation,76000000,,,,,,,,,,2022,BEL,0.0,146000000.0,170000000.0,1.18239642570098,6890161299.82246
Belgium,Military,Equipment,EUR,Allocation,76000000,,,,,,,,,,2022,BEL,0.0,146000000.0,170000000.0,1.18239642570098,6890161299.82246
Belgium,Military,Equipment,EUR,Allocation,11000000,11000000,11000000,10387971.569571935,11000000,11000000.0,10387971.569571935,10387971.569571935,11000000.0,10387971.569571935,2022,BEL,0.0,146000000.0,170000000.0,1.18239642570098,6890161299.82246
Belgium,Military,Equipment,EUR,Allocation,11000000,,,,,,,,,,2022,BEL,0.0,146000000.0,170000000.0,1.18239642570098,6890161299.82246
Belgium,Military,Weapons,EUR,Allocation,11000000,,,,,,,,,,2022,BEL,0.0,146000000.0,170000000.0,1.18239642570098,6890161299.82246
Belgium,Military,Weapons,EUR,Allocation,11000000,,,,,,,,,,2022,BEL,0.0,146000000.0,170000000.0,1.18239642570098,6890161299.82246
Belgium,Military,Equipment,EUR,Allocation,11000000,,,,,,,,,,2022,BEL,0.0,146000000.0,170000000.0,1.18239642570098,6890161299.82246
Belgium,Military,Equipment,EUR,Allocation,11000000,,,,,,,,,,2022,BEL,0.0,146000000.0,170000000.0,1.18239642570098,6890161299.82246
Belgium,Military,Equipment,EUR,Allocation,11000000,,,,,,,,,,2022,BEL,0.0,146000000.0,170000000.0,1.18239642570098,6890161299.82246
Belgium,Military,Weapons,EUR,Allocation,2646400,2646400,2646400,2499157.0874286518,2646400,2646400.0,2499157.0874286518,2499157.0874286518,2646400.0,2499157.0874286518,2022,BEL,0.0,146000000.0,170000000.0,1.18239642570098,6890161299.82246
Belgium,Military,Equipment,EUR,Allocation,2646400,,,,,,,,,,2022,BEL,0.0,146000000.0,170000000.0,1.18239642570098,6890161299.82246
Belgium,Military,Weapons,EUR,Allocation,10639008,10639008,10639008,10047064.784768034,10639008,10639008.0,10047064.784768034,10047064.784768034,10639008.0,10047064.784768034,2022,BEL,0.0,146000000.0,170000000.0,1.18239642570098,6890161299.82246
Belgium,Military,Equipment,EUR,Allocation,10639008,,,,,,,,,,2022,BEL,0.0,146000000.0,170000000.0,1.18239642570098,6890161299.82246
Belgium,Military,Funding for Weapon Acquisition Program,EUR,Allocation,8000000,8000000,8000000,7554888.414234134,8000000,8000000.0,7554888.414234134,7554888.414234134,8000000.0,7554888.414234134,2022,BEL,0.0,146000000.0,170000000.0,1.18239642570098,6890161299.82246
Belgium,Military,Funding for Weapon Acquisition Program,EUR,Allocation,8000000,,,,,,,,,,2022,BEL,0.0,146000000.0,170000000.0,1.18239642570098,6890161299.82246
Belgium,Military,Funding for Weapon Acquisition Program,EUR,Allocation,8000000,,,,,,,,,,2022,BEL,0.0,146000000.0,170000000.0,1.18239642570098,6890161299.82246
Belgium,Military,Funding for Weapon Acquisition Program,EUR,Allocation,8000000,,,,,,,,,,2022,BEL,0.0,146000000.0,170000000.0,1.18239642570098,6890161299.82246
Belgium,Military,Weapons,EUR,Allocation,1757052.4,1757052.4,1757052.4,1659291.852495285,1757052.4,1757052.4,1659291.852495285,1659291.852495285,1757052.4,1659291.852495285,2022,BEL,0.0,146000000.0,170000000.0,1.18239642570098,6890161299.82246
Belgium,Military,Weapons,EUR,Allocation,1757052.4,,,,,,,,,,2022,BEL,0.0,146000000.0,170000000.0,1.18239642570098,6890161299.82246
Belgium,Military,Weapons,EUR,Allocation,1757052.4,,,,,,,,,,2022,BEL,0.0,146000000.0,170000000.0,1.18239642570098,6890161299.82246
Belgium,Military,Weapons,EUR,Allocation,25004047,25004047,25004047,23612848.12365822,25004047,25004047.0,23612848.12365822,23612848.12365822,25004047.0,23612848.12365822,2022,BEL,0.0,146000000.0,170000000.0,1.18239642570098,6890161299.82246
