source_reported_value,tot_activity_value,tot_activity_value_EUR,tot_sub_activity_value,tot_sub_activity_value_EUR,item_value_estimate_USD,item_value_estimate_deliv_USD
4565891450.0,4565891450.0,185862756.0,4565891450.0,185862756.0,48000000.0,48000000.0
4565891450.0,,,,,61410506.0,61410506.0
4565891450.0,,,,,13750000.0,13750000.0
4565891450.0,,,,,19655206.0,19655206.0
4565891450.0,,,,,4900000.0,4900000.0
4565891450.0,,,,,20150000.0,20150000.0
4565891450.0,,,,,158840.0,158840.0
4565891450.0,,,,,55036000.0,55036000.0
4565891450.0,,,,,320880000.0,320880000.0
4565891450.0,,,,,1364224.0,1364224.0
4565891450.0,,,,,5724600.0,5724600.0
4565891450.0,,,,,77550000.0,77550000.0
